Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Canada,national,"fossil unconditional","Support provided by Export Development Canada to oil and gas in 2021",Resources,"oil and gas","several energy stages","other hybrid support measures",EDC,"Increase the competitiveness of Canada's oil and gas sector",31/12/2021,,CAD,5149000000,3839671887,0,0,"This amount of funding represents the total support Export Development Canada (EDC), Canada's export credit agency, provides to the domestic fossil fuel industry (specifically to oil and gas) for the 2021 period.",https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2021.html,
Canada,national,"fossil unconditional","Support provided by Export Development Canada to oil and gas in 2020",Resources,"oil and gas","several energy stages","other hybrid support measures",EDC,"Increase the competitiveness of Canada's oil and gas sector",30/12/2020,,CAD,8098000000,6038777033,0,0,"This amount of funding represents the total support Export Development Canada (EDC), Canada's export credit agency, provides to the domestic fossil fuel industry (specifically to oil and gas) for the 2020 period. ",https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2020.html,
Canada,Ontario,"clean conditional","Launch of Hydro One",Mobility,"multiple energy types","exploration or production or processing or storage or transportation","equity injection or nationalisation (Hybrid)",,,14/02/2020,,CAD,0,0,0,0,"Launch of a  new company with Ontario Power Generation to deliver Ontario's largest and most connected electric vehicle fast-charger network",http://hydroone.mediaroom.com/2020-02-14-Hydro-One-and-Ontario-Power-Generation-launch-new-company-to-deliver-Ontarios-largest-and-most-connected-electric-vehicle-fast-charger-network,
Canada,Alberta,"fossil conditional","Alberta grants for oil and gas emission reduction",Resources,"oil and gas","several energy stages","budget or off-budget transfer (DT)","Emissions Reduction Alberta (ERA)",,01/11/2021,,CAD,56000000,41759881,0,0,"These are the largest ever public funding commitments made by Emissions Reduction Alberta (ERA) to reduce emissions in the oil and gas sector. ",,https://www.eralberta.ca/media-releases/176-million-announced-to-support-16-shovel-ready-projects-to-accelerate-albertas-economic-recovery-cut-greenhouse-gas-emissions/
Brazil,National,"other energy","The Congress approved law for the process of privatization of the company Centrais Elétricas Brasileiras S.A","Power generation","multiple energy types","non-applicable (non-energy measure)","new or extended regulation (IT)",Resolution,,12/07/2021,12/07/2021,BRL,0,0,0,0,"The privatization of the company Centrais Elétricas Brasileiras S.A. (Eletrobras) will take place in accordance with the terms of Law nº 9.491 of September 9, 1997 and of § 1 of this article. (Eletrobras) and will be conditioned to the granting of new concessions of electricity generation for the Concession Contracts 
",,
India,subnational,"clean conditional","Mumbai announces plan to electrify 50% of city bus fleet by 2023",Mobility,"non-applicable (non-energy measure)","non-applicable (non-energy measure)","government procurement (DT)","BEST (Brihahanmumbai Electric Supply and Transport Undertaking)","To promote electric mobility and public transportation",21/09/2021,,INR,0,0,0,0,"Mumbai's transport authority, BEST (Brihahanmumbai Electric Supply and Transport Undertaking) has invited tenders for 1,900 fully electric buses for Mumbai. These 1,900 fully electric buses will be inducted in a phase-wise manner and will make up for 50% of BEST’s fleet of buses plying on Mumbai roads by 2023.",,https://www.livemint.com/news/india/mumbai-set-to-have-its-fleet-of-1-900-new-electric-buses-soon-11632224041946.html
India,National,"clean unconditional","Increase in GST rate for renewable energy devices","Power generation","multiple renewable","electricity generation",uncategorized,"GST Council","To increase government revenue from renewable sector ",27/09/2021,,INR,0,0,0,0,"The GST Council has decided to increase the goods and service tax rate for renewable energy devices from 5% to 12%. This will increase the price of solar cells and modules",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1755925,
India,national,"clean unconditional","Union government approves 23 new Inter-State Transmission System (ISTS)","Power generation","multiple renewable","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Ministry of Power","To augment seamless transfer of power from power surplus regions to power deficit regions and assist growth of renewable energy based capacity.",08/12/2021,,INR,158930000000,2144659605,0,0,"Union Minister of Power and MNRE has approved new 23 Inter State Transmission System Projects (ISTS) with an estimated cost of Rs. 15893 crore. The new transmission projects would inter-alia facilitate evacuation system for multiple renewable energy power plants - 14 GW of Renewable Projects in Rajasthan, 4.5 GW of RE projects in Gujarat, 1 GW Neemuch Solar Park, Madhya Pradesh and feeding areas near Akhnoor and Jammu region by establishing Siot Substation in Jammu.",https://pib.gov.in/Pressreleaseshare.aspx?PRID=1779303,
India,National,"fossil conditional","Indian government announced 39 first mile connectivity projects in coal sector by 2023-24",Mobility,coal,"several energy stages","other hybrid support measures","Ministry of Coal","To reduce emissions from coal transportation",18/11/2021,18/11/2021,INR,130000000000,1754267594,0,0,"First Mile Connectivity (FMC) is other major initiative by coal companies to minimise environmental pollution, where coal is being transported through conveyor belt from Coal Handling Plants to Silo for loading. This process eliminates movement of coal through road. 39 such projects have been planned to be commissioned by 2023-24 with an investment of over Rs. 13000 Cr. CIL alone will enhance its mechanical loading and transport of coal from the present level of 120 million tonnes to 565 million tonnes by 2023-24. These FMC projects will save diesel worth Rs.2100 crores per annum. There will be reduction in vehicle density by 2770 trucks per hour paving the way for significant reduction in carbon emission.",,
"Saudi Arabia",national,"clean unconditional","Sudair Solar PV Plant","Power generation",solar,"electricity generation","budget or off-budget transfer (DT)",,"Increasing solar PV capacity",08/04/2021,,SAR,3400000000,906666667,0,0,"The Sudair Solar PV plant in Sudair Industrial City is supported under the umbrella of the National Renewable Energy Program. The plant is estimated to have the capacity to power 185,000 homes and offset nearly 2.9 million tons of emissions per year. An important step in the country's target is to develop 70% of its renewable energy capacity. This project is funded by Saudi Arabia's Public Investment Fund. 
",https://www.spa.gov.sa/viewstory.php?lang=en&newsid=2212863,
Mexico,national,"fossil unconditional","Tax benefit for gasoline consumption in the southern border",Mobility,"oil and oil products","energy use (all energy types, consumption in transport, household use, buildings etc)","tax or royalty or govt fee break (GRF)",,,28/12/2020,28/12/2020,MXN,698000000,32486271,0,0,"On the 28th of December 2020 the government signed a decree which extended existing tax breaks on gasoline consumption at the norther border to the souther border. These tax breaks include a reduced VAT from 16% to 8% and income tax from 30% to 20% and a subsidized IEPS rate for gasoline. These subsidized rates will be applied in  several municipalities in the southern states of Campeche, Tabasco, Chiapas and Quintana Roo. By doing so the government is seeking to harmonize fuel prices in those southern states with those in Guatemala which are currently lower. ","https://www.gob.mx/cms/uploads/attachment/file/649263/DRR_2021.pdf
, https://www.dof.gob.mx/nota_detalle.php?codigo=5608907&fecha=28/12/2020",
Mexico,national,"fossil unconditional","Purchase of Deer Park Refinery",Resources,"oil and oil products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)",,"increase Mexico's oil refining capacity",26/05/2021,,MXN,12084000000,562412734,0,0,"Through this measure the government completed the purchase of the Deer Park refinery based in the United States. The company was acquired by Pemex for USD 596 million, corresponding to 50% of Shell's stake in the company. The refinery is among the largest in the United States with a crude capacity of 340,000 barrels per day. Likewise, its plants allow it to process heavy and light crude without generating fuel oil. It produces around 131 thousand barrels per day of gasoline, 89 thousand barrels per day of diesel and 25 thousand barrels per day of jet fuel.",https://www.gob.mx/presidencia/prensa/en-2023-procesaremos-todos-los-combustibles-y-se-mantendran-precios-bajos-confirma-presidente?idiom=es-MX,
Japan,National,"clean unconditional","Acceleration of the construction of a next-generation network for the mass introduction of renewable energy","Power generation","multiple renewable","electricity generation","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Introduction of long-distance submarine DC power transmission system in order to enable mass introduction of renewable energy",21/12/2021,21/12/2021,JPY,4999403000,46821850,0,0,"In order to accelerate the resolution of power grid constraints in order to achieve renewable energy targets, it is essential to accelerate the development of a DC power transmission system to efficiently transmit power from Hokkaido, which has great potential for offshore wind power, to large demand areas. In this project, we will conduct a survey of the actual sea area based on the discussions of the ""Study Group for the Development of Long-Distance Submarine DC Power Transmission System"", which aims to organize the points to be considered when introducing a long-distance submarine DC power transmission system, and to promote specifics regarding the sea area suitable for the system, costs, etc.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean unconditional","Subsidy for energy conservation investment","Multiple sectors","energy efficiency","energy efficiency","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promotion of energy-saving equipment",21/12/2021,21/12/2021,JPY,9995384000,93611651,0,0,"Subsidizes a portion of the cost of upgrading to energy-saving equipment with superior performance in the industrial and commercial sectors.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean unconditional","Mainstreaming of Local Renewable Energy and Strengthening of Resilience through the use of PPAs","Power generation",solar,"several energy stages","budget or off-budget transfer (DT)","Ministry of the Environment","Promotion of local renewable energy system",21/12/2021,21/12/2021,JPY,11350000000,106298291,0,0,"To promote the introduction and price reduction of on-site solar power generation equipment and storage batteries through on-site PPAs, etc., and to achieve storage parity, the program provides support for businesses, etc., that install on-site solar power generation equipment and storage batteries (including vehicle-mounted storage batteries) in commercial facilities, industrial facilities, housing complexes, and single-family homes through on-site PPAs, etc., and return a portion of the subsidy amount to consumers through reduced service charges, etc. Support will also be provided for businesses that have installed demand-side equipment that can be operated and controlled off-site to achieve energy management and CO2 reduction during normal times, and that can report on the results of remote control.",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/003.pdf,
Japan,National,"clean unconditional","Subsidies to encourage customer-driven PV installations","Power generation",solar,"electricity generation","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promotion of solar power generation without FIT/FIP schemes",21/12/2021,21/12/2021,JPY,13499068000,126425362,0,0,"Support for the introduction of solar power generation facilities when customers who wish to install solar power generation facilities by themselves or by power producers and conclude contracts for long-term use of renewable energy without using FIT/FIP schemes or self consignment.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Turkey,National,"fossil unconditional","Economic Stability Shield Program &#8211; VAT reduction on domestic flights",Mobility,"multiple fossil","energy use (all energy types, consumption in transport, household use, buildings etc)","tax or royalty or govt fee break (GRF)","Ministry of Transport and Infrastructure","Support domestics flights",18/03/2020,18/03/2020,TRY,0,0,0,0,"As part of the 100 billion TL Economic Stability Shield Program designed to combat the economic impacts of the COVID-19 pandemic. President Erdogan has announced VAT on domestic flights has been reduced from 18% to 1% for 3 months.",https://www.invest.gov.tr/tr/news/news-from-turkey/sayfalar/president-erdogan-unveils-economic-stability-shield-program.aspx,https://taxnews.ey.com/news/2020-0605-%20turkey-introduces-economic-stability-shield-package-to-reduce-the-impact-of-covid19?uAlertID=Sd%2FG8rua1oj6%2Fl58EZ2AiA%3D%3D
China,Shanxi,"clean unconditional","Shanxi province kicked off carbon emissions financing with a total amount of 354 million yuan","Power generation","multiple renewable","electricity generation","loan (Hybrid)",,,27/11/2021,27/11/2021,CNY,354000000,51296914,0,0,"Bank of China Shanxi Branch and Construction Bank Shanxi Branch issued the first four carbon emission reduction project loans of 354 million yuan, with a weighted average interest rate of 4.05%, driving the annual carbon emission reduction of 54,900 tons. Four loans were all invested in the field of clean energy, including 40 million yuan for pumped storage power plant projects, 80 million yuan for wind power generation projects, 234 million yuan for solar power generation projects. ",,http://www.news.cn/local/2021-11/27/c_1128106575.htm
China,national,"fossil conditional","China to set up 200 billion yuan relending facility for cleaner coal use","Multiple sectors",coal,"several energy stages","loan (Hybrid)","State Council",,17/11/2021,,CNY,200000000000,28981307057,0,0,"On top of the financial instruments introduced earlier to support the reduction of carbon emissions, a targeted re-lending program with a quota of 200 billion yuan (about $31.3 billion) will be rolled out in support of the efficient use of coal.",http://english.www.gov.cn/premier/news/202111/18/content_WS6195a201c6d0df57f98e51d8.html,https://www.reuters.com/business/sustainable-business/china-set-up-200-bln-yuan-relending-facility-back-clean-use-coal-2021-11-17/
China,national,"fossil conditional","PipeChina issues 6 billion yuan ultra-short-term bond for gas projects",Resources,"gas and gas products","exploration or production or processing or storage or transportation","purchase of bonds (Hybrid)",,,12/11/2021,,CNY,6000000000,869439212,0,0,"The bond issuance is the first appearance in the public market after the establishment of the State Pipe Network Group, exclusively underwritten by the Industrial and Commercial Bank of China, with an issue amount of 6 billion yuan and a term of 270 days, which is the largest single amount of ultra-short-term financing bonds this year. All the funds raised will be used for the construction of natural gas storage and transportation infrastructure such as gas storage depots.",,https://finance.sina.com.cn/money/future/roll/2021-11-13/doc-iktzqtyu7112600.shtml
Germany,National,"clean conditional","Germany launches funding call for alternatively powered trains",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","German Government","To improve rail infrastructure in Germany",18/06/2021,18/06/2021,EUR,74000000,84474886,0,0,"In June 2021, the funding call for alternative drive systems and charging and refueling infrastructure in rail transport, such as overhead line sections for recharging batteries and stations for charging trains at stations, was launched. The basis for this is the new ""Guideline for the Promotion of Alternative Drive Systems in Rail Transport."" According to financial planning, budget funds of 74 million euros are available for the program until 2024.",https://www.bmvi.de/DE/Themen/Mobilitaet/Elektromobilitaet/Ladeinfrastruktur/Ladeinfrastruktur.html,https://www.electrive.net/2021/06/18/bmvi-foerderaufruf-fuer-alternativ-angetriebene-zuege/
Germany,National,"clean conditional","Germany supports publicly accessible charging infrastructure for electric vehicles",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","German Government","To further improve the charging infrastructure in Germany",28/06/2021,17/08/2021,EUR,500000000,570776256,0,0,"Germany relaunched the funding guideline ""Publicly accessible charging infrastructure for electric vehicles in Germany"" with a volume of 500 million euros until 2025. The funding guideline was approved by the EU Commission on June 28, 2021. The first funding call for public charging points was published on August 17, 2021, and the second funding call on August 18, 2021.",https://www.bmvi.de/DE/Themen/Mobilitaet/Elektromobilitaet/Ladeinfrastruktur/Ladeinfrastruktur.html,https://www.bmvi.de/SharedDocs/DE/Artikel/G/foerderrichtlinie-ladeinfrastruktur-elektrofahrzeuge.html
Germany,National,"clean unconditional","Launch of the Northern Germany Regulatory Sandbox to accelerate the process of translating research innovations into practical applications","Multiple sectors",hydrogen,"several energy stages","budget or off-budget transfer (DT)","German Government","To support research on green hydrogen in Northern Germany",14/04/2021,14/04/2021,EUR,52000000,59360731,0,0,"A total of €52 million is available for the Northern Germany Regulatory Sandbox. The aim is to use green hydrogen to integrate industry, transport and the supply of heat in a consistent manner, thus saving large amounts of carbon dioxide. The regulatory sandboxes for the energy transition are a funding instrument within the framework of the Federal Government’s Seventh Energy Research Programme. The funding provided by the Federal Ministry for Economic Affairs and Energy is used to support companies and research institutions that are developing tangible solutions for the energy transition. The regulatory sandboxes enable experts to test innovative energy technologies under existing market conditions and on an industrial scale, thus helping to speed up the process from technological development to market penetration.",https://www.bmwk.de/Redaktion/EN/Pressemitteilungen/2021/04/210414-Launch-of-the-Northern-Germany-Regulatory-Sandbox.html,https://www.bmz.de/en/news/press-releases/indonesian-german-initiative-to-improve-green-infrastructure-104378
Germany,National,"fossil unconditional","EUR 920 million for 15 German airports",Mobility,"non-applicable (non-energy measure)","non-applicable (non-energy measure)","budget or off-budget transfer (DT)","German Government","To maintain regional infrastructure",12/02/2021,12/02/2021,EUR,920000000,1050228311,0,0,"""Last autumn, Minister of Transport Andreas Scheuer proposed a 50-50 model between the federal and state governments to help airports. Specifically, the idea is to reimburse the costs of keeping airports open at the beginning of the Corona pandemic. During the lockdown in March and April, airports were kept open at the request of politicians despite the dramatic drop in passenger numbers - so that German tourists from abroad could be brought home and masks and medicines could be transported. In concrete terms, this involves a sum of 200 million euros from the federal government and the airports' holding costs from March to the end of June 2020. In addition, the federal government is putting around 400 million euros into the three airports with federal participation, in addition to Berlin, these are Munich and Cologne-Bonn. The preconditions for federal support are that the respective federal states provide a subsidy in the same amount, that no dividends are distributed for 2020 and that no bonuses are paid to managing directors and board members of the operating companies. In addition, the Federal Government will support small airports in connection with air navigation services. To this end, a second charging area supported with federal funds is to be created for aerodromes that do not belong to those under § 27d para. 1 of the Air Traffic Act, but where air navigation services are recognised as necessary. Up to now, small airports have borne the costs of air traffic control themselves and cannot always pass them on to airspace users. 20 million euros have been earmarked for this support measure in the 2021 budget. DFS Deutsche Flugsicherung GmbH (air navigation services) will receive equity support of €300 million in 2021.
""","https://web.archive.org/web/20210216081901/, https://www.bmvi.de/SharedDocs/DE/Artikel/LF/massnahmenpaket-fuer-deutsche-flughaefen.html","https://web.archive.org/web/20210213144622/, https://www.saarbruecker-zeitung.de/nachrichten/wirtschaft/bund-will-nur-groesseren-flughaefen-direkt-helfen_aid-56214077"
Germany,National,"fossil unconditional","TUI Rescue Swells to $5.8 Billion With Third Government Deal",Mobility,"non-applicable (non-energy measure)","non-applicable (non-energy measure)","budget or off-budget transfer (DT)","German Government","To support the world's biggest tour operator in the face of the new wave of virus lockdown",02/12/2020,02/12/2020,EUR,1300000000,1484018265,0,0,"The latest package of 1.8 billion euros will include 1.3 billion euros from the state - amassed from federal fund WSF, state-run lender KfW and a state debt guarantee -- together with 500 million euros from a shareholder capital increase. The bailout, which adds to earlier rescue packages granted in April and August, was delayed by a debate over what conditions the state should attach, especially how much control the government should have over the company. TUI was already Germany’s second-biggest coronavirus-bailout recipient, topped only by airline Deutsche Lufthansa AG. Parts of the package can be converted into equity, meaning the government could end up holding 25% plus one share in TUI. The German state will also nominate two members to TUI’s supervisory board, and the deal comes with restrictions such as preventing the firm investing in other companies. No job cuts are foreseen. ","https://web.archive.org/web/20201207110058/, https://www.bloomberg.com/tosv2.html?vid=&uuid=7c1adc00-387b-11eb-b103-f9a1773f71e7&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0xMi0wMi90dWktaXMtcG9pc2VkLXRvLXJlY2VpdmUtdGhpcmQtZ2VybWFuLWJhaWxvdXQtc2luY2UtdmlydXMtaGl0","https://web.archive.org/web/20201207110224/, https://www.bmwi.de/Redaktion/DE/Pressemitteilungen/2020/12/20201202-zitat-sprecherin-bmwi-zu-tui.html"
Germany,National,"fossil conditional","Germany pledges EUR 700 million to help South Africa ditch coal","Power generation",coal,"several energy stages","budget or off-budget transfer (DT)","German Government","To facilitate a Just Transition in South Africa",02/11/2021,02/11/2021,EUR,700000000,799086758,0,0,"""The US and several European nations, including Germany, have pledged $8.5 billion (€7.3 billion) to help South Africa phase out coal and expand renewable sources of energy. The partnership was announced at the COP26 climate conference in Glasgow on Tuesday. Germany said it planned to invest €700 million as part of the plan, which is also backed by the UK, France and the European Union.""",https://www.dw.com/en/germany-pledges-funds-to-help-south-africa-ditch-coal/a-59699018,
Germany,National,"clean unconditional","Germany funds two projects researching alternatives to fossil fuel use in the glass industry with EUR 4.5 million","Other sector","other energy type","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","German Government","To facilitate Germany's efforts to decarbonize its domestic industry.",24/11/2021,24/11/2021,EUR,4500000,5136987,0,0,"The Federal Environment Ministry in Germany (BMU) is funding two projects researching alternatives to fossil fuel use in the glass industry. Glass manufacturer Schott, based in Mainz, will receive around 4.5 million euros in total as part of the BMU’s Decarbonization in Industry programs, which aims to reduce emissions in energy-intensive industries through the use of innovative technologies.","https://web.archive.org/web/20220603063612/, https://www.cleanenergywire.org/news/german-environment-ministry-launches-project-decarbonise-glass-industry",
Germany,National,"clean unconditional","Government defines “green hydrogen” and decides rules for rapid market ramp-up","Power generation",hydrogen,"exploration or production or processing or storage or transportation","other hybrid support measures","German Government","To increase the uptake of hydrogen, accompanying the latest version of the Renewable Energy Act (EEG) which specifies support for new hydrogen production facilities and other renewable installations such as biogas plants and agri-solar PV.",20/05/2021,20/05/2021,EUR,0,0,0,0,"Germany’s first movers in hydrogen generation using electricity will be supported by lower power prices and a wide definition of “green” hydrogen, the government has decided. By creating “clear and pragmatic” requirements for green hydrogen, a rapid market ramp-up of the technology is aimed for by the government. To make the ramp-up of electrolysers more attractive, they will be partially exempt from the renewable energy surcharge (EEG levy). This will make the electricity used in the process cheaper.  The EEG levy is generally paid by all electricity consumers with their power bills and the money is used to pay for feed-in support of renewable installations. Producers of green hydrogen, who use renewable energy for the process, are exempt. So are energy intensive companies, such as large chemical plants, who largely focus on electrolysis, regardless of the origin of the electricity used in production. In the interest of a rapid ramp-up of hydrogen production, the ministry decided against a stricter definition of green hydrogen and against rules for the location of electrolysers.","http://web.archive.org/web/20210523142703/, https://www.cleanenergywire.org/news/government-defines-green-hydrogen-decides-rules-rapid-market-ramp?pk_campaign=weekly_newsletter_2021-05-21&pk_keyword=government-defines-green-hydrogen-decides-rules-rapid-market-ramp&pk_source=newsletter&pk_medium=email&pk_content=title",
